targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,correct_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,6,0,0,0,0,0,0,0,5,7.108025499997893,None,7.5424857000034535,8.24244770000223,None,None,None,0,None,None,None,7.5424857000034535,None,,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
0.5,0,0,right,8,0,0,0,0,0,1,1,7,8.409370299996226,None,8.892560799999046,9.592618499998935,10.092540700003156,None,right,1,10.092540700003156,None,None,8.892560799999046,10.092540700003156,0.3351126000052318,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
-0.5,180,0,left,4,0,0,0,0,0,2,2,3,10.442574799992144,None,10.925913500002935,11.625898099999176,12.125931300004595,None,left,1,12.125931300004595,None,None,10.925913500002935,12.125931300004595,0.2838276000111364,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
-0.5,0,1,left,2,0,0,0,0,0,3,3,1,12.425911600003019,None,12.909266899994691,13.609303499993985,14.109317099995678,None,left,1,14.109317099995678,None,None,12.909266899994691,14.109317099995678,0.3004967000015313,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
-0.5,0,1,left,2,0,0,0,0,0,4,4,0,14.425906399992527,None,14.909209599994938,15.60923780000303,16.109419100001105,None,left,1,16.109419100001105,None,None,14.909209599994938,16.109419100001105,0.267025699999067,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
0.5,180,1,right,6,0,0,0,0,0,5,5,6,16.39252989999659,None,16.87612299999455,17.57593310000084,18.076021200002288,None,right,1,18.076021200002288,None,None,16.87612299999455,18.076021200002288,0.25046509999083355,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
-0.5,0,1,left,2,0,0,0,0,0,6,6,2,18.342604599994957,None,18.82589609999559,19.52592499999446,20.026136600004975,None,left,1,20.026136600004975,None,None,18.82589609999559,20.026136600004975,0.26675389999581967,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
0.5,180,1,right,6,0,0,0,0,0,7,7,4,20.309267000004184,None,20.792816200002562,21.49279619999288,21.99256919999607,None,right,1,21.99256919999607,None,None,20.792816200002562,21.99256919999607,0.21838019999268,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
0.5,180,1,right,6,0,0,0,0,1,0,8,5,22.225968200000352,None,22.70927049999591,23.409326399996644,23.909277500002645,None,right,1,23.909277500002645,None,None,22.70927049999591,23.909277500002645,0.25040060000901576,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
0.5,0,0,right,8,0,0,0,0,1,1,9,7,24.175910499994643,None,24.659570100004203,25.359301399992546,25.859255499992287,None,right,1,25.859255499992287,None,None,24.659570100004203,25.859255499992287,0.35023359999468084,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
-0.5,0,1,left,2,0,0,0,0,1,2,10,0,26.2259739000001,None,26.709264100005385,27.409310300005018,27.909279600004083,None,left,1,27.909279600004083,None,None,26.709264100005385,27.909279600004083,0.2503984000068158,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
-0.5,0,1,left,2,0,0,0,0,1,3,11,2,28.175918799999636,None,28.65950259999954,29.3592956999928,29.859320300005493,None,left,1,29.859320300005493,None,None,28.65950259999954,29.859320300005493,0.23368109999864828,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
-0.5,0,1,left,2,0,0,0,0,1,4,12,1,30.109503400002723,None,30.59263899999496,31.29260179999983,31.792719499993837,None,left,1,31.792719499993837,None,None,30.59263899999496,31.792719499993837,0.23455579999426845,123123,001,2019_Nov_27_2001,posner,3.2.4,60.01237455328956,
