targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,break_text.started,break_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,2,0,0,0,0,0,0,0,2,6.48532300000079,None,6.9142202000075486,7.614553499995964,8.114084900007583,None,left,1,0.3340123000089079,8.114084900007583,None,None,6.9142202000075486,8.114084900007583,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
-0.5,0,1,left,2,0,0,0,0,0,1,1,0,8.463942600006703,None,8.947955099996761,9.647385599993868,10.147654500004137,None,left,1,0.43490249999740627,10.147654500004137,None,None,8.947955099996761,10.147654500004137,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
-0.5,0,1,left,2,0,0,0,0,0,2,2,1,10.59755839999707,None,11.080807999998797,11.78109580000455,12.280793600002653,None,left,1,0.23391379999520723,12.280793600002653,None,None,11.080807999998797,12.280793600002653,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
0.5,180,1,right,6,0,0,0,0,0,3,3,4,12.53081039999961,None,13.0142685000028,13.71407650000765,14.214579299994512,None,right,1,0.10146330000134185,14.214579299994512,None,None,13.0142685000028,14.214579299994512,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
0.5,0,0,right,8,0,0,0,0,0,4,4,7,14.330813599997782,None,14.814708499994595,15.514984399997047,16.014843299999484,None,left,0,0.16767569999501575,16.014843299999484,None,None,14.814708499994595,16.014843299999484,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
-0.5,180,0,left,4,0,0,0,0,0,5,5,3,16.199006900002132,None,16.681454000005033,17.381845700001577,17.882414099993184,None,left,1,0.3169530000013765,17.882414099993184,None,None,16.681454000005033,17.882414099993184,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
0.5,180,1,right,6,0,0,0,0,0,6,6,5,18.21509149999474,None,18.6987361000065,19.398488799997722,19.898854200000642,None,right,1,0.366154599993024,19.898854200000642,None,None,18.6987361000065,19.898854200000642,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
0.5,180,1,right,6,0,0,0,0,0,7,7,6,20.28116990000126,None,20.764222400001017,21.464656099997228,21.964509700002964,None,right,1,0.3167135999974562,21.964509700002964,None,None,20.764222400001017,21.964509700002964,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,22.298125800007256,None,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
0.5,180,1,right,6,1,0,1,0,0,0,0,6,32.43047049999586,None,32.914978999993764,33.614715999996406,34.11461710000003,None,right,1,0.3503045000106795,34.11461710000003,None,None,32.914978999993764,34.11461710000003,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
-0.5,0,1,left,2,1,0,1,0,0,1,1,2,34.480865000005,None,34.964703200006625,35.664705400005914,36.164280700002564,None,left,1,0.3840039000060642,36.164280700002564,None,None,34.964703200006625,36.164280700002564,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
-0.5,180,0,left,4,1,0,1,0,0,2,2,3,36.564592099995934,None,37.04758729999594,37.74802759999875,38.247999100000015,None,left,1,0.3699082999955863,38.247999100000015,None,None,37.04758729999594,38.247999100000015,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
0.5,0,0,right,8,1,0,1,0,0,3,3,7,38.63082020000729,None,39.11420500000531,39.81467340000381,40.31414129999757,None,right,1,0.3348606999934418,40.31414129999757,None,None,39.11420500000531,40.31414129999757,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
-0.5,0,1,left,2,1,0,1,0,0,4,4,0,40.665962500002934,None,41.14815490000183,41.84759489999851,42.348071000000346,None,left,1,0.23329129999910947,42.348071000000346,None,None,41.14815490000183,42.348071000000346,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
0.5,180,1,right,6,1,0,1,0,0,5,5,4,42.59792470000684,None,43.081855299999006,43.78127289999975,44.28149080000003,None,right,1,0.36657719999493565,44.28149080000003,None,None,43.081855299999006,44.28149080000003,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
0.5,180,1,right,6,1,0,1,0,0,6,6,5,44.666032299996004,None,45.14793669999926,45.84798550000414,46.34752130000561,None,right,1,0.4675675000034971,46.34752130000561,None,None,45.14793669999926,46.34752130000561,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
-0.5,0,1,left,2,1,0,1,0,0,7,7,1,46.830845699994825,None,47.31481870000425,48.01478369999677,48.514246000006096,None,left,1,0.4674457000073744,48.514246000006096,None,None,47.31481870000425,48.514246000006096,,,123123,001,2019_Nov_27_2010,posner,3.2.4,60.03305419624143,
