targetX,cueOri,congr,corrAns,posner_type,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,posner_task.thisRepN,posner_task.thisTrialN,posner_task.thisN,posner_task.thisIndex,fixation_1.started,fixation_1.stopped,fixation_2.started,fixation_2.stopped,cue.started,cue.stopped,target.started,target.stopped,correct_key_resp.keys,correct_key_resp.corr,correct_key_resp.rt,correct_key_resp.started,correct_key_resp.stopped,early_resp.keys,early_resp.started,early_resp.stopped,break_text.started,break_text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
-0.5,0,1,left,2,0,0,0,0,0,0,0,0,6.120052199999918,6.626557600000524,7.243229999992764,None,6.559879899999942,7.259969699996873,7.759953999993741,None,left,1,0.38380460000189487,7.759953999993741,None,None,6.559879899999942,7.759953999993741,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
-0.5,180,0,left,4,0,0,0,0,0,1,1,3,8.159888599999249,8.659924899999169,9.343253200000618,None,8.643370999998297,9.343253200000618,9.843263199989451,None,left,1,0.4170882000034908,9.843263199989451,None,None,8.643370999998297,9.843263199989451,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
0.5,180,1,right,6,0,0,0,0,0,2,2,4,10.276617800001986,10.77676259999862,11.46012809999229,None,10.760017399996286,11.46012809999229,11.959953400000813,None,right,1,0.2838503000093624,11.959953400000813,None,None,10.760017399996286,11.959953400000813,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
-0.5,0,1,left,2,0,0,0,0,0,3,3,2,12.260046900002635,12.760054200000013,13.44362479999836,None,12.743608299992047,13.44362479999836,13.943339499994181,None,left,1,0.21722369999042712,13.943339499994181,None,None,12.743608299992047,13.943339499994181,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
0.5,180,1,right,6,0,0,0,0,0,4,4,5,14.176794999992126,14.676748700003373,15.360021599990432,None,14.660016499998164,15.360021599990432,15.860244399998919,None,right,1,0.2342213000083575,15.860244399998919,None,None,14.660016499998164,15.860244399998919,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
0.5,0,0,right,8,0,0,0,0,0,5,5,7,16.109947799996007,16.610221800001455,17.293530800001463,None,16.59357669999008,17.293530800001463,17.793504499990377,None,right,1,0.3007978999958141,17.793504499990377,None,None,16.59357669999008,17.793504499990377,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
0.5,180,1,right,6,0,0,0,0,0,6,6,6,18.11006159998942,18.610311600001296,19.29361359999166,None,18.59331509999174,19.29361359999166,19.793520499995793,None,right,1,0.3005624999932479,19.793520499995793,None,None,18.59331509999174,19.793520499995793,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
-0.5,0,1,left,2,0,0,0,0,0,7,7,1,20.109988199998043,20.6102164999902,21.293817899990245,None,20.593704200000502,21.293817899990245,21.79337489999307,None,left,1,0.2505270000110613,21.79337489999307,None,None,20.593704200000502,21.79337489999307,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,22.060227099995245,None,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
-0.5,180,0,left,4,1,0,1,0,0,0,0,3,32.211303999996744,32.72667019999062,33.39348189999873,None,32.69335649999266,33.39348189999873,33.89369299999089,None,left,1,0.4006840999936685,33.89369299999089,None,None,32.69335649999266,33.89369299999089,,,123123,001,2019_Nov_27_2033,posner,3.2.3,60.01086196663667,
