targetX,cueOri,congr,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.5,180,1,right,0,0,0,6,13.738537399971392,14.753151499957312,14.636281999992207,15.13666059996467,15.13666059996467,None,right,1,0.49018269998487085,15.13666059996467,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
-0.5,180,0,left,0,1,1,3,15.65331659995718,16.6533092999598,16.636605399951804,17.136672499997076,17.136672499997076,None,left,1,0.40557459997944534,17.136672499997076,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
-0.5,0,1,left,0,2,2,0,17.56989629997406,18.569836999988183,18.553233499987982,19.053562599990983,19.053562599990983,None,left,1,0.24489299999549985,19.053562599990983,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
-0.5,0,1,left,0,3,3,1,19.320387099985965,20.32032659999095,20.30356439994648,20.803134199988563,20.803134199988563,None,left,1,0.23599300003843382,20.803134199988563,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
0.5,180,1,right,0,4,4,5,21.069924299954437,22.069965999980923,22.053241599991452,22.553432899992913,22.553432899992913,None,right,1,0.19701209996128455,22.553432899992913,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
0.5,0,0,right,0,5,5,7,22.769957999989856,23.770326099998783,23.753273399954196,24.253073099942412,24.253073099942412,None,left,0,0.10509389999788254,24.253073099942412,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
-0.5,0,1,left,0,6,6,2,24.38741809997009,25.386711499944795,25.37028349994216,25.88684839999769,25.86918419995345,None,left,1,0.2140534999780357,25.86918419995345,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
0.5,180,1,right,0,7,7,4,26.10369369998807,27.11922119994415,27.08578609995311,27.585802799963858,27.585802799963858,None,right,1,0.20145039999624714,27.585802799963858,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
0.5,0,0,right,0,0,0,7,27.802471899951342,28.802498399978504,28.786000299965963,29.28587099997094,29.28587099997094,None,right,1,0.36043409997364506,29.28587099997094,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
-0.5,0,1,left,0,1,1,1,29.669095299963374,30.67083629994886,30.652481699944474,31.153094799956307,31.153094799956307,None,left,1,0.14388180000241846,31.153094799956307,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
-0.5,0,1,left,0,2,2,0,31.319617399945855,32.320291099953465,32.30311299994355,32.804115299950354,32.804115299950354,None,left,1,0.14776820002589375,32.804115299950354,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
0.5,180,1,right,0,3,3,4,32.9699201999465,33.96950409997953,33.95357679994777,34.45243529998697,34.45243529998697,None,right,1,0.16268750000745058,34.45243529998697,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
0.5,180,1,right,0,4,4,5,34.635544599965215,35.63721709995298,35.619939399999566,36.11998059996404,36.11998059996404,None,right,1,0.09634280001046136,36.11998059996404,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
0.5,180,1,right,0,5,5,6,36.23566739994567,37.23659309995128,37.220138799981214,37.71989099995699,37.71989099995699,None,right,1,0.05189220001921058,37.71989099995699,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
-0.5,0,1,left,0,6,6,2,37.78576039994368,38.78687309997622,38.76996369997505,39.2699803999858,39.2699803999858,None,left,1,0.10476680001011118,39.2699803999858,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
-0.5,180,0,left,0,7,7,3,39.403271699964534,40.40333749999991,40.386749999946915,40.88715799996862,40.88715799996862,None,right,0,0.13928250002209097,40.88715799996862,None,123,001,2019_Nov_22_1907,posner,3.2.4,59.79505840860063,
