4.9925 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
5.9454 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000185F29F1EB8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000185F26E9B70>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.9454 	EXP 	window1: recordFrameIntervals = False
6.1116 	EXP 	window1: recordFrameIntervals = True
6.2954 	EXP 	window1: recordFrameIntervals = False
6.4900 	EXP 	Created fixation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='fixation', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
6.4935 	EXP 	Created cue = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='images/arrow-left.png', interpolate=True, mask=None, maskParams=None, name='cue', opacity=1.0, ori=1.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
6.4961 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/circle_red.png', interpolate=True, mask=None, maskParams=None, name='target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), texRes=128, units='height', win=Window(...))
6.5205 	EXP 	Imported conditions.csv as conditions, 2 conditions, 4 params
6.5207 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
6.5210 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
6.6104 	EXP 	cue: ori = 180.0
6.6104 	EXP 	target: pos = array([0.5, 0. ])
6.6104 	EXP 	fixation: autoDraw = True
7.5278 	EXP 	cue: autoDraw = True
7.6114 	EXP 	fixation: autoDraw = False
8.0279 	EXP 	cue: autoDraw = False
8.0279 	EXP 	target: autoDraw = True
9.2162 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
9.2210 	DATA 	Keypress: right
9.2279 	EXP 	fixation: autoDraw = False
9.2279 	EXP 	cue: autoDraw = False
9.2279 	EXP 	target: autoDraw = False
9.2279 	EXP 	cue: ori = 0.0
9.2279 	EXP 	target: pos = array([-0.5,  0. ])
9.2279 	EXP 	fixation: autoDraw = True
10.2113 	EXP 	cue: autoDraw = True
10.2282 	EXP 	fixation: autoDraw = False
10.5987 	DATA 	Keypress: left
10.7117 	EXP 	cue: autoDraw = False
10.7117 	EXP 	target: autoDraw = True
11.0168 	DATA 	Keypress: left
11.0368 	EXP 	Imported conditions.csv as conditions, 2 conditions, 4 params
11.0370 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
11.0373 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
11.0456 	EXP 	fixation: autoDraw = False
11.0456 	EXP 	cue: autoDraw = False
11.0456 	EXP 	target: autoDraw = False
11.0456 	EXP 	cue: ori = 0.0
11.0456 	EXP 	target: pos = array([-0.5,  0. ])
11.0456 	EXP 	fixation: autoDraw = True
12.0450 	EXP 	fixation: autoDraw = False
12.0450 	EXP 	cue: autoDraw = True
12.5452 	EXP 	cue: autoDraw = False
12.5452 	EXP 	target: autoDraw = True
12.7998 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
12.8025 	DATA 	Keypress: left
12.8121 	EXP 	fixation: autoDraw = False
12.8121 	EXP 	cue: autoDraw = False
12.8121 	EXP 	target: autoDraw = False
12.8121 	EXP 	cue: ori = 180.0
12.8121 	EXP 	target: pos = array([0.5, 0. ])
12.8121 	EXP 	fixation: autoDraw = True
13.7967 	EXP 	cue: autoDraw = True
13.8133 	EXP 	fixation: autoDraw = False
14.2969 	EXP 	cue: autoDraw = False
14.2969 	EXP 	target: autoDraw = True
14.5383 	EXP 	Imported conditions.csv as conditions, 2 conditions, 4 params
14.5385 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
14.5387 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
14.5408 	DATA 	Keypress: right
14.5515 	EXP 	fixation: autoDraw = False
14.5515 	EXP 	cue: autoDraw = False
14.5515 	EXP 	target: autoDraw = False
14.5515 	EXP 	cue: ori = 0.0
14.5515 	EXP 	target: pos = array([-0.5,  0. ])
14.5515 	EXP 	fixation: autoDraw = True
15.5466 	EXP 	cue: autoDraw = True
15.5626 	EXP 	fixation: autoDraw = False
16.0467 	EXP 	cue: autoDraw = False
16.0467 	EXP 	target: autoDraw = True
16.3023 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
16.3045 	DATA 	Keypress: left
16.3134 	EXP 	fixation: autoDraw = False
16.3134 	EXP 	cue: autoDraw = False
16.3134 	EXP 	target: autoDraw = False
16.3134 	EXP 	cue: ori = 180.0
16.3134 	EXP 	target: pos = array([0.5, 0. ])
16.3134 	EXP 	fixation: autoDraw = True
17.2969 	EXP 	cue: autoDraw = True
17.3133 	EXP 	fixation: autoDraw = False
17.7967 	EXP 	cue: autoDraw = False
17.7967 	EXP 	target: autoDraw = True
18.0208 	EXP 	Imported conditions.csv as conditions, 2 conditions, 4 params
18.0210 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
18.0213 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
18.0239 	DATA 	Keypress: right
18.0347 	EXP 	fixation: autoDraw = False
18.0347 	EXP 	cue: autoDraw = False
18.0347 	EXP 	target: autoDraw = False
18.0347 	EXP 	cue: ori = 180.0
18.0347 	EXP 	target: pos = array([0.5, 0. ])
18.0347 	EXP 	fixation: autoDraw = True
19.0132 	EXP 	cue: autoDraw = True
19.0467 	EXP 	fixation: autoDraw = False
19.5135 	EXP 	cue: autoDraw = False
19.5135 	EXP 	target: autoDraw = True
19.7855 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
19.7876 	DATA 	Keypress: right
19.7970 	EXP 	fixation: autoDraw = False
19.7970 	EXP 	cue: autoDraw = False
19.7970 	EXP 	target: autoDraw = False
19.7970 	EXP 	cue: ori = 0.0
19.7970 	EXP 	target: pos = array([-0.5,  0. ])
19.7970 	EXP 	fixation: autoDraw = True
20.7801 	EXP 	cue: autoDraw = True
20.7968 	EXP 	fixation: autoDraw = False
21.2794 	EXP 	cue: autoDraw = False
21.2794 	EXP 	target: autoDraw = True
21.5051 	EXP 	Imported conditions.csv as conditions, 2 conditions, 4 params
21.5053 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
21.5056 	EXP 	New trial (rep=0, index=0): OrderedDict([('targetX', -0.5), ('cueOri', 0), ('congr', 1), ('corrAns', 'left')])
21.5081 	DATA 	Keypress: left
21.5178 	EXP 	fixation: autoDraw = False
21.5178 	EXP 	cue: autoDraw = False
21.5178 	EXP 	target: autoDraw = False
21.5178 	EXP 	cue: ori = 0.0
21.5178 	EXP 	target: pos = array([-0.5,  0. ])
21.5178 	EXP 	fixation: autoDraw = True
22.5138 	EXP 	cue: autoDraw = True
22.5300 	EXP 	fixation: autoDraw = False
23.0133 	EXP 	cue: autoDraw = False
23.0133 	EXP 	target: autoDraw = True
23.1691 	EXP 	New trial (rep=0, index=1): OrderedDict([('targetX', 0.5), ('cueOri', 180), ('congr', 1), ('corrAns', 'right')])
23.1714 	DATA 	Keypress: left
23.1800 	EXP 	fixation: autoDraw = False
23.1800 	EXP 	cue: autoDraw = False
23.1800 	EXP 	target: autoDraw = False
23.1800 	EXP 	cue: ori = 180.0
23.1800 	EXP 	target: pos = array([0.5, 0. ])
23.1800 	EXP 	fixation: autoDraw = True
24.1635 	EXP 	cue: autoDraw = True
24.1799 	EXP 	fixation: autoDraw = False
24.6635 	EXP 	cue: autoDraw = False
24.6635 	EXP 	target: autoDraw = True
24.9515 	DATA 	Keypress: right
24.9633 	EXP 	fixation: autoDraw = False
24.9633 	EXP 	cue: autoDraw = False
24.9633 	EXP 	target: autoDraw = False
